depth,age
1.122650000000000006e+02,5.354562059536780083e+01
1.122900000000000063e+02,5.354830813623979680e+01
1.123149999999999977e+02,5.355099567711170039e+01
1.123400000000000034e+02,5.355368321798359688e+01
1.123649999999999949e+02,5.355637075885559995e+01
1.123900000000000006e+02,5.355905829972750354e+01
1.124150000000000063e+02,5.356174584059940003e+01
1.124249999999999972e+02,5.356282085694819983e+01
1.124500000000000028e+02,5.356550839782020290e+01
1.124749999999999943e+02,5.356819593869209939e+01
1.125000000000000000e+02,5.357088347956400298e+01
1.125250000000000057e+02,5.357357102043599895e+01
1.125750000000000028e+02,5.357894610217979903e+01
1.125999999999999943e+02,5.358163364305180210e+01
1.126250000000000000e+02,5.358432118392369858e+01
1.126500000000000057e+02,5.358700872479560218e+01
1.126749999999999972e+02,5.358969626566759814e+01
1.127000000000000028e+02,5.359238380653950173e+01
1.127249999999999943e+02,5.359507134741139822e+01
1.127500000000000000e+02,5.359775888828340129e+01
1.127750000000000057e+02,5.360044642915529778e+01
1.127999999999999972e+02,5.360313397002720137e+01
1.128250000000000028e+02,5.360582151089919734e+01
1.128499999999999943e+02,5.360850905177110093e+01
1.128750000000000000e+02,5.361119659264309689e+01
1.129000000000000057e+02,5.361388413351500049e+01
1.129249999999999972e+02,5.361657167438689697e+01
1.129500000000000028e+02,5.361925921525890004e+01
1.129749999999999943e+02,5.362194675613079653e+01
1.130000000000000000e+02,5.362463429700270012e+01
1.130250000000000057e+02,5.362732183787470319e+01
1.130499999999999972e+02,5.363000937874659968e+01
1.130750000000000028e+02,5.363269691961850327e+01
1.130999999999999943e+02,5.363538446049049924e+01
1.131250000000000000e+02,5.363807200136240283e+01
1.131500000000000057e+02,5.364075954223429932e+01
1.131749999999999972e+02,5.364344708310630239e+01
1.132000000000000028e+02,5.364613462397819887e+01
1.132249999999999943e+02,5.364882216485010247e+01
1.132500000000000000e+02,5.365150970572209843e+01
1.132750000000000057e+02,5.365419724659400202e+01
1.132999999999999972e+02,5.365688478746589851e+01
1.133250000000000028e+02,5.365957232833790158e+01
1.133499999999999943e+02,5.366225986920979807e+01
1.133750000000000000e+02,5.366494741008170166e+01
1.134000000000000057e+02,5.366763495095369763e+01
1.134249999999999972e+02,5.367032249182560122e+01
1.134500000000000028e+02,5.367292913011149835e+01
1.134749999999999943e+02,5.367551554275090098e+01
1.135000000000000000e+02,5.367810195539029650e+01
1.135250000000000057e+02,5.368068836802969912e+01
1.135499999999999972e+02,5.368327478066920122e+01
1.135750000000000028e+02,5.368586119330859674e+01
1.135999999999999943e+02,5.368844760594799936e+01
1.136250000000000000e+02,5.369103401858740199e+01
1.136500000000000057e+02,5.369362043122679751e+01
1.136749999999999972e+02,5.369620684386620013e+01
1.137000000000000028e+02,5.369879325650560276e+01
1.137249999999999943e+02,5.370137966914499827e+01
1.137500000000000000e+02,5.370396608178440090e+01
1.137750000000000057e+02,5.370655249442380352e+01
1.137999999999999972e+02,5.370913890706319904e+01
1.138250000000000028e+02,5.371172531970260167e+01
1.138499999999999943e+02,5.371431173234199719e+01
1.138750000000000000e+02,5.371689814498139981e+01
1.139000000000000057e+02,5.371948455762080243e+01
1.139249999999999972e+02,5.372207097026019795e+01
1.139500000000000028e+02,5.372465738289960058e+01
1.139749999999999943e+02,5.372724379553900320e+01
1.140000000000000000e+02,5.372983020817839872e+01
1.140250000000000057e+02,5.373241662081780134e+01
1.140750000000000028e+02,5.373758944609669896e+01
1.140999999999999943e+02,5.374017585873610159e+01
1.141250000000000000e+02,5.374276227137549711e+01
1.141500000000000057e+02,5.374534868401489973e+01
1.141749999999999972e+02,5.374793509665430236e+01
1.142000000000000028e+02,5.375052150929369787e+01
1.142249999999999943e+02,5.375310792193310050e+01
1.142500000000000000e+02,5.375569433457250312e+01
1.142750000000000057e+02,5.375828074721189864e+01
1.142999999999999972e+02,5.376086715985130127e+01
1.143250000000000028e+02,5.376345357249069679e+01
1.143499999999999943e+02,5.376603998513009941e+01
1.143750000000000000e+02,5.376862639776950203e+01
1.144000000000000057e+02,5.377121281040889755e+01
1.144249999999999972e+02,5.377379922304830018e+01
1.144500000000000028e+02,5.377638563568770280e+01
1.144749999999999943e+02,5.377897204832709832e+01
1.145000000000000000e+02,5.378155846096650095e+01
1.145250000000000057e+02,5.378414487360600305e+01
1.145499999999999972e+02,5.378673128624539856e+01
1.145750000000000028e+02,5.378931769888480119e+01
1.145999999999999943e+02,5.379190411152419671e+01
1.146250000000000000e+02,5.379449052416359933e+01
1.146500000000000057e+02,5.379707693680300196e+01
1.146749999999999972e+02,5.379966334944239748e+01
1.147000000000000028e+02,5.380224976208180010e+01
1.147249999999999943e+02,5.380483617472120272e+01
1.147500000000000000e+02,5.380742258736059824e+01
1.147750000000000057e+02,5.381000900000000087e+01
1.147999999999999972e+02,5.381259541263940349e+01
1.148250000000000028e+02,5.381518182527879901e+01
1.148499999999999943e+02,5.381776823791820163e+01
1.148750000000000000e+02,5.382035465055759715e+01
1.149000000000000057e+02,5.382294106319699978e+01
1.149249999999999972e+02,5.382552747583640240e+01
1.149500000000000028e+02,5.382811388847579792e+01
1.149749999999999943e+02,5.383070030111520055e+01
1.150000000000000000e+02,5.383328671375460317e+01
1.150250000000000057e+02,5.383587312639399869e+01
1.150499999999999972e+02,5.383845953903350079e+01
1.150750000000000028e+02,5.384104595167290341e+01
1.150999999999999943e+02,5.384363236431229893e+01
1.151250000000000000e+02,5.384621877695170156e+01
1.151500000000000057e+02,5.384880518959109708e+01
1.151749999999999972e+02,5.385139160223049970e+01
1.152000000000000028e+02,5.385397801486990232e+01
1.152249999999999943e+02,5.385656442750929784e+01
1.152500000000000000e+02,5.385915084014870047e+01
1.152750000000000057e+02,5.386173725278810309e+01
1.152999999999999972e+02,5.386432366542749861e+01
1.153250000000000028e+02,5.386691007806690124e+01
1.153499999999999943e+02,5.386949649070629675e+01
1.153750000000000000e+02,5.387208290334569938e+01
1.154000000000000057e+02,5.387466931598510200e+01
1.154249999999999972e+02,5.387725572862449752e+01
1.154500000000000028e+02,5.387984214126390015e+01
1.154749999999999943e+02,5.388242855390330277e+01
1.155000000000000000e+02,5.388501496654279777e+01
1.155250000000000057e+02,5.388760137918220039e+01
1.155750000000000028e+02,5.389277420446099853e+01
1.155999999999999943e+02,5.389536061710040116e+01
1.156250000000000000e+02,5.389794702973979668e+01
1.156500000000000057e+02,5.390053344237919930e+01
1.156749999999999972e+02,5.390311985501860192e+01
1.157000000000000028e+02,5.390570626765799744e+01
1.157249999999999943e+02,5.390829268029740007e+01
1.157500000000000000e+02,5.391087909293680269e+01
1.157750000000000057e+02,5.391346550557619821e+01
1.157999999999999972e+02,5.391605191821560084e+01
1.158250000000000028e+02,5.391863833085500346e+01
1.158499999999999943e+02,5.392122474349439898e+01
1.158750000000000000e+02,5.392381115613380160e+01
1.159000000000000057e+02,5.392639756877319712e+01
